Program Name,Skills,Website
Girls Who Code India,"Programming, AI",https://girlswhocode.com/
AnitaB.org India,"Programming, AI",https://anitab.org/
Women in Engineering (WIE),"Programming, AI",https://wie.ieee.org/
Tech She Can,"Programming, AI",https://techshecan.org/
STEM Mentorship by Lean In,"Programming, AI",https://leanin.org/
Google Women Techmakers,"Programming, AI",https://developers.google.com/women-techmakers
Microsoft Codess,"Programming, AI",https://www.microsoft.com/en-us/diversity/inside-microsoft/codess.aspx
NASA G.I.R.L.S.,"Programming, AI",https://www.nasa.gov/stem/women-in-stem.html
She Codes,"Programming, AI",https://shecodes.io/
Code.org Women in Tech,"Programming, AI",https://code.org/
SheLeadsTech by Facebook,"Entrepreneurship, Leadership, Technology Innovation",https://www.facebook.com/SheLeadsTechIndia/
Women Entrepreneurship Hub,"Entrepreneurship, Business Strategy, Financial Literacy",https://wehub.telangana.gov.in/
Girl Up India,"Entrepreneurship, Leadership, Advocacy",https://girlup.org/
The Girl Effect,"Entrepreneurship, Media Production",https://www.girleffect.org/
Women Will by Google,"Entrepreneurship, Leadership, Digital Marketing",https://grow.google/intl/en_in/womenwill/
TIE Women,"Entrepreneurship, Networking, Career Guidance",https://tie.org/women/
Startup Women Connect,"Entrepreneurship , Business Strategy",https://startupwomenconnect.com/
Women Who Startup,"Entrepreneurship, Leadership, AI",https://www.womenwhostartup.com/
She Means Business by Meta,"Entrepreneurship, Media Production",https://shemeansbusiness.fb.com/
Shakti - Women Entrepreneurs Network,"Entrepreneurship, Leadership, Sustainability Practices",https://www.shaktiwomen.org/
SheThePeople TV,"Creative Writing, Media Production, Advocacy",https://www.shethepeople.tv/
Feminist Approach to Technology (FAT),"Creative Writing, Media Production",https://fat-net.org/
Women in Film and Television India (WIFT),"Creative Writing, Media Production",https://wiftindia.org/
DesignUp Mentorship,"Creative Writing, Media Production, Design",https://designup.io/
Art for Change,"Creative Writing, Media Production, Social Impact",https://artforchange.in/
Women in Animation India,"Creative Writing, Media Production, AI ",https://womeninanimation.org/
Ladies Wine & Design,"Creative Writing, Media Production",https://ladieswinedesign.com/
Adobe Women Create,"Creative Writing, Media Production",https://adobe.com/women-create/
Women in Music Mentorship,"Creative Writing, Media Production",https://womeninmusic.org/
Indian Women in Design Mentorship,"Creative Writing, Media Production",https://indiadesigncouncil.org/
UN Women India,"Advocacy, Gender Equality, Leadership",https://www.unwomen.org/en
Breakthrough India,"Advocacy, Gender Equality, Ethical Thinking",https://inbreakthrough.org/
She Creates Change,"Advocacy, Gender Equality, Storytelling",https://www.shecreateschange.org/
Mann Deshi Foundation,"Advocacy, Gender Equality, Financial Literacy",https://www.manndeshi.org/
CREA India,"Advocacy, Gender Equality",https://creaworld.org/
Women Deliver Young Leaders,"Advocacy, Gender Equality, Career Guidance",https://womendeliver.org/young-leaders/
Vital Voices,"Advocacy, Gender Equality, Entrepreneurship",https://www.vitalvoices.org/
Rise Up Leadership,"Advocacy, Gender Equality, Policy Making",https://riseuptogether.org/
GIRL Power Talk,"Advocacy, Gender Equality, Policy Making",https://girlpowertalk.com/
Women for Women International,"Advocacy, Gender Equality, Policy Making",https://www.womenforwomen.org/
Lean In India Circles,"Networking, Leadership, Ethical Thinking",https://leanin.org/circles
SheMentors,"Networking, Leadership, Advocacy",https://www.shementors.com/
Women in Leadership (WIL),"Networking, Leadership, Business Strategy",https://www.womeninleadership.in/
Girls in Tech India,"Networking, Data Science, Career Guidance",https://india.girlsintech.org/
Aspire For Her,"Networking, Leadership, Financial Literacy",https://www.aspireforher.org/
LinkedIn Women Mentorship Program,"Networking, Leadership, Media Production",https://www.linkedin.com/help/linkedin/answer/a1338223
McKinsey Women Leadership Program,"Networking, Leadership, Career Guidance",https://www.mckinsey.com/careers/women-at-mckinsey
Google Women Developers Network,"Networking, Leadership, Career Guidance",https://developers.google.com/women-developers
Women in Business Mentorship,"Networking, Leadership, Career Guidance",https://www.womeninbusinessnetwork.com/
Deloitte Women in Consulting,"Networking, Leadership, Career Guidance",https://www2.deloitte.com/us/en/pages/careers/topics/women-at-deloitte.html
GoSports Foundation,"Sports Training, Discipline, Teamwork",https://www.gosports.in/
Women in Sports (WINS),"Sports Training, Discipline, Teamwork",https://www.winsindia.org/
ProSport Development,"Sports Training, Discipline, Teamwork",https://www.prosportdevelopment.org/
Fit India Movement,"Sports Training, Discipline, Teamwork",https://fitindia.gov.in/
ShePlays,"Sports Training, Discipline, Teamwork",https://sheplays.in/
International Olympic Committee Women in Sports,"Sports Training, Discipline, Teamwork",https://olympics.com/ioc/women-in-sport
Nike Made to Play Mentorship,"Sports Training, Discipline, Teamwork",https://www.nike.com/in/made-to-play
Women’s Rugby Mentorship,"Sports Training, Discipline, Teamwork",https://www.world.rugby/womens-rugby
She Climbs (Women in Mountaineering),"Sports Training, Discipline, Teamwork",https://sheclimbs.in/
Indian Women in Athletics Network,"Sports Training, Discipline, Teamwork",https://www.indianwomenathletics.com/
VidyaGyan Leadership Academy,"Academic Excellence, Leadership, Critical Thinking",https://www.vidyagyan.in/
Teach For India Fellowship,"Academic Excellence, Leadership, Critical Thinking",https://www.teachforindia.org/
Pratham Education Foundation,"Academic Excellence, Leadership, Critical Thinking",https://www.pratham.org/
Girl Rising India,"Academic Excellence, Leadership, Critical Thinking",https://girlrising.org/
Sakshi Education Initiative,"Academic Excellence, Leadership, Critical Thinking",https://www.sakshi.org.in/
UNESCO Women in STEM Program,"Academic Excellence, Leadership, Critical Thinking",https://en.unesco.org/women-in-stem
Women in Science India,"Academic Excellence, Leadership, Critical Thinking",https://www.womeninscienceindia.org/
IEEE Women in Engineering Mentorship,"Academic Excellence, Leadership, Critical Thinking",https://wie.ieee.org/
Oxford Women in Education,"Academic Excellence, Leadership, Critical Thinking",https://www.ox.ac.uk/about/diversity/women
MIT Women in Science & Engineering,"Academic Excellence, Leadership, Critical Thinking",https://wi.mit.edu/
Mera Doctor,"Health Awareness, Nutrition, Wellness",https://meradoctor.com/
Women’s Health Initiative,"Health Awareness, Nutrition, Wellness",https://www.womenshealthinitiative.org/
Sangath Health Mentorship,"Health Awareness, Nutrition, Wellness",https://www.sangath.in/
HealthSetGo,"Health Awareness, Nutrition, Wellness",https://healthsetgo.com/
SheHealth,"Health Awareness, Nutrition, Wellness",https://shehealth.in/
Planned Parenthood Global Youth Mentorship,"Health Awareness, Nutrition, Wellness",https://www.plannedparenthood.org/planned-parenthood-global
Harvard Women in Public Health,"Health Awareness, Nutrition, Wellness",https://www.hsph.harvard.edu/women-in-public-health/
Women in Mental Health Network,"Health Awareness, Nutrition, Wellness",https://www.womeninmentalhealth.org/
Women in Medicine Leadership Mentorship,"Health Awareness, Nutrition, Wellness",https://www.hopkinsmedicine.org/women-in-medicine/
Johns Hopkins Women in Healthcare,"Health Awareness, Nutrition, Wellness",https://www.jh.edu/women-in-healthcare/
Green Mentorship Program,"Environmental Awareness, Sustainability Practices",https://greenmentorship.org/
Women for Water,"Environmental Awareness, Sustainability Practices",https://www.womenforwater.org/
Eco Femme,"Environmental Awareness, Sustainability Practices",https://ecofemme.org/
Greenpeace India,"Environmental Awareness, Sustainability Practices",https://www.greenpeace.org/india/
Swayam Shikshan Prayog (SSP),"Environmental Awareness, Sustainability Practices",https://www.sspindia.org/
Women in Climate Tech,"Environmental Awareness, Sustainability Practices",https://www.womeninclimatetech.org/
UN Women Environmental Leadership Program,"Environmental Awareness, Sustainability Practices",https://www.unwomen.org/en/what-we-do/environmental-leadership
She Sustains (Women in Renewable Energy),"Environmental Awareness, Sustainability Practices",https://www.shesustains.org/
Earth Advocates Women Network,"Environmental Awareness, Sustainability Practices",https://www.earthadvocates.org/
Global Women in Sustainability,"Environmental Awareness, Sustainability Practices",https://www.globalwomeninsustainability.org/
SEWA Mentorship Program,"Financial Literacy, Entrepreneurship, Leadership",https://www.sewa.org/
Women on Wings,"Financial Literacy, Entrepreneurship, Leadership",https://www.womenonwings.com/
AIF Women Empowerment Program,"Financial Literacy, Entrepreneurship, Leadership",https://www.aif.org/women-empowerment/
Grameen Foundation,"Financial Literacy, Entrepreneurship, Leadership",https://grameenfoundation.org/
CARE India,"Financial Literacy, Entrepreneurship, Leadership",https://www.careindia.org/
"Goldman Sachs 10,000 Women","Financial Literacy, Entrepreneurship, Leadership",https://www.goldmansachs.com/citizenship/10000women/
Women in Finance Network,"Financial Literacy, Entrepreneurship, Leadership",https://www.womeninfinancenetwork.org/
IMF Women in Economics Program,"Financial Literacy, Entrepreneurship, Leadership",https://www.imf.org/en/About/Recruitment/Women-in-Economics
SheTrades by International Trade Centre,"Financial Literacy, Entrepreneurship, Leadership",https://www.shetrades.com/
Women in Banking & Investment Network,"Financial Literacy, Entrepreneurship, Leadership",https://www.womeninbanking.org/
SIGA Women Global Mentorship,"Sports , Entrepreneurship",https://siga-sport.com/siga-global-female-mentorship-programme/
She is Football Weekend by Tampa Bay Buccaneers,"Sports , Leadership",https://www.buccaneers.com/sheisfootball/
Women4Climate Mentorship Programme,"Health , Environment",c40.org
Women's Mentorship Program - Health Systems Global (HSG),"Health , Environment",healthsystemsglobal.org
Financial Literacy for Women - SNN,"Financial Literacy , Advocacy",snnla.org
Invest in Girls Financial Education Program,"Financial Literacy , Advocacy",councilforeconed.org
Women's Money Matters,"Financial Literacy , Advocacy",womensmoneymatters.org
Kode With Klossy,"Programming , Leadership",kodewithklossy.com
Girls Write Now - Writing Works,"Creative Writing , Entrepreneurship",girlswritenow.org
Leigh Shulman’s Creative Writing Mentorship,"Creative Writing , Entrepreneurship",leighshulman.com
Women Tech Career Mentoring Program,Programming + Business Strategy,womentech.net
AI & Innovation Leadership Program,"AI, Leadership",d14.ai
Women Data Professionals Mentoring Program,AI,edmcouncil.org
Women Programming Community Mentorship,"Programming , Business Strategy",womenProgrammingcommunity.com
Global Women TechLeaders Mentoring,"AI , Leadership",globalwomenintech.com
Nourish Equality,"Nutrition , Gender Equality",stronger-foundations.org
Women in AI Ethics Mentoring Program,"AI , Environmental Awareness",womeninaiethics.org
Digital Inclusion Mentorship,"Networking , AI",fundsforngos.org
She's Invested Program,"Sports Training , Entrepreneurship",wnba.com
VV GROW Fellowship,"Health Awareness , Business Strategy",vitalvoices.org
Women Coding Community Mentorship,"Coding , Media Production",womencodingcommunity.com
Girls Who Code Mentoring Corps,"Coding , Media Production",girlswhocode.com
Girls Inc. of NYC Programs,"Teamwork , Financial Literacy",girlsincnyc.org
Women in AI Mentorship Program,"AI , Leadership",womeninai.co/mentorship-canada
VV Visionaries Program,Leadership Development,vitalvoices.org/program/visionaries
Women in Analytics Mentorship Program,"AI , Storytelling",thearf.org/communities/women-in-analytics/mentorship-program
R-Ladies Global Mentoring,"AI , Networking",rladies.org
All Tech Is Human - Responsible Tech Mentorship Program,"AI , Design",alltechishuman.org
Nasscom MentHERship Program,"Leadership, Programming",nasscom.in
EY Women in Technology Program,"Programming , Leadership",ey.com
